"id","name","group","period","scenario","usage","status","v01","v02","v03"
"CH-001","Айтжан в силе","Главные персонажи","примерно 1940-е / начало 1950-х","Пролог; 1 серия «Айтжан: тірек адам»; 2 серия «Тау. Қамшы. Күш».","Сцены уважения в Карасу, помощь бедным, работа с семьей, горный блок, Кула ат, встреча с Балтақадыром.","3 из 3 итераций готово","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-001_Aitzhan_strong_openai_v01.png","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-001_Aitzhan_strong_openai_v02.png","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-001_Aitzhan_strong_openai_v03.png"
"CH-002","Айтжан в последние годы","Главные персонажи","после болезни, 1945-1955","3 серия «Қоштасу, аманат».","Болезнь, возвращение к труду после тифа, сцены прощания, аманат Ниетжану, сон перед уходом.","3 из 3 итераций готово","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-002_Aitzhan_final_years_openai_v01.png","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-002_Aitzhan_final_years_openai_v02.png","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-002_Aitzhan_final_years_openai_v03.png"
"CH-003","Ниетжан в детстве","Главные персонажи","10-14 лет","1 серия, сцены поля и қырман; 2 серия, бытовые блоки жайлау/жылқы/қымыз.","Работа в поле, сбор урожая, детский взгляд на мир Айтжана, летняя жизнь на жайлау.","3 из 3 итераций готово","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-003_Nietzhan_child_openai_v01.png","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-003_Nietzhan_child_openai_v02.png","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-003_Nietzhan_child_openai_v03.png"
"CH-004","Ниетжан в 17 лет","Главные персонажи","17 лет","3 серия «Қоштасу, аманат».","Сцена у постели Айтжана, обещание отцу, финальная линия долга и памяти.","3 из 3 итераций готово","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-004_Nietzhan_youth17_openai_v01.png","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-004_Nietzhan_youth17_openai_v02.png","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-004_Nietzhan_youth17_openai_v03.png"
"CH-005","Ниетжан молодым взрослым","Дополнительные версии","20-25 лет","В финальном сценарии напрямую почти не разыгрывается; можно использовать как переходный образ после 3 серии.","Опционально: эпилог, монтаж памяти, документы, если понадобится связка между юностью и архивным голосом.","3 из 3 итераций готово, опционально","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-005_Nietzhan_young_adult_openai_v01.png","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-005_Nietzhan_young_adult_openai_v02.png","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-005_Nietzhan_young_adult_openai_v03.png"
"CH-006","Ниетжан в зрелости","Дополнительные версии","средний возраст","Закадровый/архивный слой, если в монтаже нужен визуальный мост к аудио.","Опционально для перебивок с архивным голосом, семейных воспоминаний, документов.","3 из 3 итераций готово, опционально","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-006_Nietzhan_middle_age_openai_v01.png","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-006_Nietzhan_middle_age_openai_v02.png","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-006_Nietzhan_middle_age_openai_v03.png"
"CH-007","Ниетжан в старости","Дополнительные версии","старость","Закадровый/архивный слой, если нужен визуальный образ рассказчика.","Опционально: эпилог, память, семейная линия, переход к сегодняшнему Ерлану.","3 из 3 итераций готово, опционально","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-007_Nietzhan_old_age_openai_v01.png","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-007_Nietzhan_old_age_openai_v02.png","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-007_Nietzhan_old_age_openai_v03.png"
"CH-008","Жена Айтжана / мать Ниетжана","Семья","средний возраст","1 серия, семейный быт и работа; возможно бытовые сцены 2 серии.","Поле, дом, дети, подготовка еды, бытовые кадры рядом с Айтжаном и Ниетжаном.","3 из 3 итераций готово","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-008_Aitzhan_wife_openai_v01.png","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-008_Aitzhan_wife_openai_v02.png","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-008_Aitzhan_wife_openai_v03.png"
"CH-009","Ерлан в детстве","Семья","детство","В финальном сценарии не является отдельной сценой; только как возможная память внутри пролога/эпилога.","Опционально: семейные фото, мост от архивной истории к сегодняшнему рассказчику.","2 из 3 итераций готово, опционально","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-009_Erlan_child_openai_v01.png","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-009_Erlan_child_openai_v02.png",""
"CH-010","Ерлан сегодня","Современная рамка","настоящее время","Пролог и возможный эпилог.","Дом/комната, телефон, аудио Ниетжана, дети и внуки, переход к прошлому.","временная версия, нужен референс","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-010_Erlan_present_placeholder_openai_v01.png","",""
"CH-011","Балтақадыр","Второстепенные персонажи","30-40 лет","2 серия «Тау. Қамшы. Күш», блок кражи жылқы.","Кража, встреча с Айтжаном, примирение с Қызай людьми, моральная сила Айтжана.","1 из 3 итераций готова","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-011_Baltaqadyr_openai_v01.png","",""
"CH-012","Ақ боз атты елес","Мистические образы","вневременной образ","2 серия, горный блок.","Предупреждение Айтжану, атмосфера таинственного тауға шығу, переход к трагедии Балтабай и Қасей.","1 из 3 итераций готова","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-012_Ak_boz_atty_eles_openai_v01.png","",""
"CH-013","Балтабай","Второстепенные персонажи","молодой взрослый","2 серия, история горы.","Решение идти на гору, драматический бытовой/мистический эпизод, последствие непослушания.","1 из 3 итераций готова","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-013_Baltabai_openai_v01.png","",""
"CH-014","Қасей","Второстепенные персонажи","молодой взрослый","2 серия, история горы.","Парная сцена с Балтабаем, нарушение запрета, драматическое последствие.","1 из 3 итераций готова","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-014_Qasey_openai_v01.png","",""
"CH-015","Қоңырқұлжа","Второстепенные персонажи","взрослый лекарь","3 серия, начало болезни.","Сцена лечения Айтжана, возвращение к жизни после ауыр дерт.","1 из 3 итераций готова","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-015_Konyrkulzha_openai_v01.png","",""
"CH-016","Молодой уйгурский сосед","Второстепенные персонажи","18-20 лет","3 серия, рассказ о сне.","Передает общине сон, помогает открыть духовный смысл ухода Айтжана.","1 из 3 итераций готова","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-016_Uighur_young_neighbor_openai_v01.png","",""
"CH-017","Родители Айтжана во сне","Мистические образы","память / сон","3 серия, сон перед смертью.","Видение Айтжана, переход к прощанию, ощущение рода и предков.","1 из 3 итераций готова","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-017_Aitzhan_parents_dream_openai_v01.png","",""
"CH-018","Жители Карасу","Массовка","разные возрасты","1 серия; также отдельные сцены 3 серии.","Соғым, асар, помощь бедным, уважение к Айтжану, общинный фон, похоронная/прощальная атмосфера.","1 из 3 итераций готова","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-018_Karasu_villagers_openai_v01.png","",""
"CH-019","Қызай жігіттері","Массовка","взрослые мужчины","2 серия, блок Балтақадыра.","Приход к Айтжану, требование наказания, сцена примирения.","1 из 3 итераций готова","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-019_Qyzay_men_openai_v01.png","",""
"CH-020","Молодежь на жайлау","Массовка","подростки и молодые","2 серия, бытовые блоки про жайлау/жылқы/қымыз.","Молодежь с лошадьми, бие сауу, қымыз, вечерняя игра, бытовое дыхание серии.","1 из 3 итераций готова","https://extrahalo.github.io/YerlanAIVideoShots/assets/characters/CH-020_Jailau_youth_openai_v01.png","",""
"CH-021","Семья Ерлана сегодня","Нужно добавить","настоящее время","Пролог.","Ерлан рядом с детьми/внуками, включение аудио, семейное слушание, переход к Айтжану.","нужно сгенерировать 3 итерации","","",""
"CH-022","Родня у смертного ложа Айтжана","Нужно добавить","1950-е","3 серия, сцена 2.1.","Прощание, тишина в доме, люди вокруг Айтжана, эмоциональная кульминация без перегруза.","нужно сгенерировать 3 итерации","","",""
"CH-023","Мужчины у могилы","Нужно добавить","1955 год","3 серия, сцена 2.2.","Похоронный кадр, финальное уважение общины, переход к словам Ниетжана.","нужно сгенерировать 3 итерации","","",""
"CH-024","Дети Айтжана в поле","Нужно добавить","1940-е / 1950-е","1 серия, сцена 3.2; 2 серия, бытовые блоки.","Жатва, қырман, помощь родителям, бытовые детали вокруг Айтжана и жены.","нужно сгенерировать 3 итерации","","",""
"CH-025","Одинокие кемпір-шал","Нужно добавить","1940-50-е","1 серия, сцена 1.3.","Дом одиноких стариков, стирка, двор, қорадағы мал; эмоциональный бытовой пример взаимопомощи.","нужно сгенерировать 3 итерации","","",""
"CH-026","Ауыл жастары и келіндер","Нужно добавить","1940-50-е","1 серия, сцена 1.3.","Помощь одиноким старикам: кто-то стирает, кто-то чистит дом, кто-то смотрит за малом.","нужно сгенерировать 3 итерации","","",""